Taxon ID InfoSpecies;Groupe d'organisme;GrouOrg;NULL;Systématique supérieure : Ordre;Famille;Nom scientifique;Nom allemand;Nom français;Nom italien;Espèces sensibles;Responsabilité;Indigénat;Menace;Référence Menace;Statut de menace international;NULL;Conservation Dependent;Niveau d'action;Indications sur le niveau d'action;Urgence;Protection occurrences individuelles;Surveillance des populations;Statut de protection;Espèce agricole OEA;Espèces cibles forestières;Plan d'action forêts claires;HAB_1;HAB_1_1;HAB_1_2;HAB_1_3;HAB_1_4;HAB_2;HAB_2_0;HAB_2_1;HAB_2_2;HAB_2_3;HAB_2_4;HAB_2_5;HAB_3;HAB_3_1;HAB_3_2;HAB_3_3;HAB_3_4;HAB_3_5;HAB_4;HAB_4_0;HAB_4_1;HAB_4_2;HAB_4_3;HAB_4_4;HAB_4_5;HAB_4_6;HAB_5;HAB_5_1;HAB_5_2;HAB_5_3;HAB_5_4;HAB_6;HAB_6_0;HAB_6_1;HAB_6_2;HAB_6_3;HAB_6_4;HAB_6_5;HAB_6_6;HAB_7;HAB_7_1;HAB_7_2;HAB_8;HAB_8_1;HAB_8_2;HAB_9;HAB_9_1;HAB_9_2;HAB_9_3;HAB_9_4;HAB_COMB;HAB_ENCODED;IE_2;IE_3;IE_4;IE_5;IE_6;IE_7;IE_8;IE_9;IE_10;IE_12;IE_13;IE_14;IE_15;IE_16;IE_17;IE_18;IE_19;IE_20;IE_22;IE_24;IE_25;IE_26;IE_101;IE_102;OFEV _1;OFEV _2;OFEV _3;OFEV _4;OFEV _5;OFEV _6;ALT_K;ALT_M;ALT_S;ALT_A;CANT_AG;CANT_AI;CANT_AR;CANT_BE;CANT_BL;CANT_BS;CANT_FR;CANT_GE;CANT_GL;CANT_GR;CANT_JU;CANT_LU;CANT_NE;CANT_NW;CANT_OW;CANT_SG;CANT_SH;CANT_SO;CANT_SZ;CANT_TG;CANT_TI;CANT_UR;CANT_VD;CANT_VS;CANT_ZG;CANT_ZH;Indication taxonomique;Lien à la page espèces du centre de données (de, fr);NULL;Etat des données GBIF Suisse
swisslichens:20;Flechten;Lichens;Licheni;Acarosporales;Acarosporaceae;Acarospora schleicheri (Ach.) A. Massal.;Schleichers Kleinsporflechte;Lichen craquelure jaune;NULL;NULL;4;INN;VU;vu-9010;NULL;NULL;0;AF (+LF +GL);Sicherung lokaler Einzelvorkommen;2;1;1;NULL;Z;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;A;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=20&start=1989&end=2024;LINKAGECH_REF;07.09.2024
swisslichens:1829;Flechten;Lichens;Licheni;Caliciales;Physciaceae;Anaptychia bryorum Poelt;Moos-Wimpernflechte;Lichen griffon des mousses;NULL;NULL;3;INN;CR;vu-9010;NULL;NULL;0;GL;NULL;N/A;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;x;NULL;NULL;NULL;x;NULL;x;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;A;A;NULL;NULL;A;A;A;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;C;NULL;A;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=1829&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=20&start=1989&end=2024;07.09.2024
swisslichens:1826;Flechten;Lichens;Licheni;Caliciales;Physciaceae;Anaptychia crinalis (Schleich.) Vezda;Feine Wimpernflechte;Lichen griffon à crinière;NULL;NULL;3;INN;VU;vu-9010;NULL;NULL;0;AF (+LF +GL);NULL;2;NULL;1;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;x;x;NULL;x;NULL;x;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;A;C;A;A;A;C;A;A;A;B;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;C;A;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=1826&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=1829&start=1989&end=2024;07.09.2024
swisslichens:2798;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia apatetica (A. Massal.) Th.Fr.;Braunkappige Fleckflechte;Lichen tache d'huile;NULL;NULL;4;INN;EN;vu-9010;NULL;NULL;0;GL;NULL;N/A;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;A;A;A;A;NULL;A;A;A;NULL;C;NULL;NULL;A;NULL;NULL;B;A;NULL;A;NULL;A;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;C;A;A;NULL;C;NULL;https://www.wsl.ch/map_lichen/search?taxon=2798&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=1826&start=1989&end=2024;07.09.2024
swisslichens:61;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia byssacea (Weigel) Almq.;Feinfaserige Fleckflechte;Lichen tache de byssus;NULL;NULL;4;INN;VU;vu-9010;NULL;NULL;0;AF (+LF +GL);Nationaler Aktionsplan bestehend (Art oder Gilden-AP gemäss Konzept AF);2;NULL;1;NULL;NULL;2;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;x;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;x;A;A;NULL;NULL;NULL;NULL;A;A;NULL;NULL;A;NULL;NULL;A;A;NULL;A;C;NULL;NULL;A;A;A;NULL;NULL;NULL;A;A;NULL;A;NULL;NULL;A;NULL;A;A;NULL;https://www.wsl.ch/map_lichen/search?taxon=61&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=2798&start=1989&end=2024;07.09.2024
swisslichens:55;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia cinereopruinosa Schaer.;Graubereifte Fleckflechte;Lichen tache de cendre;NULL;NULL;4;INN;CR;vu-9010;NULL;NULL;0;AF (+LF +GL);NULL;1;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;C;NULL;NULL;NULL;NULL;C;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;C;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=55&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=61&start=1989&end=2024;07.09.2024
swisslichens:1856;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia dispersa (Schrad.) Nyl.;Verstreute Fleckflechte;Lichen tache éparse;NULL;NULL;4;INN;EN;vu-9010;NULL;NULL;0;AF (+LF +GL);NULL;1;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;x;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;x;NULL;A;A;B;NULL;NULL;A;A;NULL;NULL;NULL;NULL;NULL;B;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;B;NULL;C;NULL;https://www.wsl.ch/map_lichen/search?taxon=1856&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=55&start=1989&end=2024;07.09.2024
swisslichens:1858;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia faginea Müll.Arg.;Buchen-Fleckflechte;Lichen tache du hêtre;NULL;NULL;3;INN;CR;vu-9010;NULL;NULL;0;AF (+LF +GL);Sicherung lokaler Einzelvorkommen;1;1;2;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=1858&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=1856&start=1989&end=2024;07.09.2024
swisslichens:302;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia fuliginosa (Turner & Borrer) Flot.;Russige Fleckflechte;Lichen tache de suie;NULL;NULL;3;INN;EN;vu-9010;NULL;NULL;0;AF (+LF +GL);Sicherung lokaler Einzelvorkommen;1;1;2;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;B;A;A;A;NULL;NULL;A;A;A;NULL;NULL;NULL;NULL;B;B;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;C;NULL;https://www.wsl.ch/map_lichen/search?taxon=302&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=1858&start=1989&end=2024;07.09.2024
swisslichens:65;Flechten;Lichens;Licheni;Arthoniales;Arthoniaceae;Arthonia leucopellaea (Ach.) Almq.;Pelzige Fleckflechte;Lichen tache à poils blancs;NULL;NULL;4;INN;VU;vu-9010;NULL;NULL;0;AF (+LF +GL);NULL;3;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;x;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;x;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A;NULL;A;NULL;NULL;NULL;NULL;A;A;NULL;NULL;NULL;NULL;A;NULL;NULL;B;NULL;A;NULL;NULL;A;NULL;A;A;A;NULL;NULL;A;NULL;NULL;A;A;NULL;NULL;NULL;NULL;https://www.wsl.ch/map_lichen/search?taxon=65&start=1989&end=2024;https://www.wsl.ch/map_lichen/search?taxon=302&start=1989&end=2024;07.09.2024
